license,address,name,Localitat,Municipi,Estat,Inici activitat
ETV/12320,"Carrer SIRENA, 12 lletra B. 07639 Estanyol De Migjorn (L), LLUCMAJOR, Mallorca",SIRENA B,Estanyol De Migjorn (L),LLUCMAJOR,Alta,11/07/2017
ETV/12322,"Carrer ALJUBS, 1. 07510 SINEU, Mallorca",CAN TEY,Sineu,SINEU,Alta,28/07/2017
ETV/12323,"Carrer STRAUSS, 9. 07639 Vallgornera Nou, LLUCMAJOR, Mallorca",JUNIPANA,Vallgornera Nou,LLUCMAJOR,Alta,21/07/2017
ETV/12324,"Polígon 3 Parcel·la 596. 07660 SANTANYÍ, Mallorca",DOS CALAS,Santanyí,SANTANYÍ,Alta,28/07/2017
ETV/12325,"Carrer DES PINTOR VERBOURGH, 4. 07660 Cala DOr, SANTANYÍ, Mallorca",VILLA VERBOUGH,Cala DOr,SANTANYÍ,Alta,28/07/2017
ETV/12326,"Polígon 3 Parcel·la 87. 07510 SINEU, Mallorca",SON LLULL,Sineu,SINEU,Alta,28/07/2017
ETV/12327,"Carrer DE GAL·LES, 35  lletra C-39. 07688 Cala Murada, MANACOR, Mallorca",CASA DE GAL-LES,Cala Murada,MANACOR,Alta,28/07/2017
ETV/12328,"Carrer ALQUERIA DEL COMTE, 50. 07100 SÓLLER, Mallorca",CASA ALQUERIA,Sóller,SÓLLER,Alta,28/07/2017
ETV/12329,"Camí BAIXÓ, 2. 07100 SÓLLER, Mallorca",CAN BOXO,Sóller,SÓLLER,Alta,28/07/2017
ETV/1233,"POLIGON 8 PARCEL·LA 412, S/N. 07650 SANTANYÍ, Mallorca",SA BARRACA,Santanyí,SANTANYÍ,Alta,17/07/2008
ETV/12332,"Carrer TORRENOVA, 36. 07181 CALVIÀ, Mallorca",TORRENOVA 36 VILLAGE,Calvià,CALVIÀ,Alta,28/07/2017
ETV/12333,"Carrer PUNTA LLARGA, 27. 07579 Colònia De Sant Pere, ARTÀ, Mallorca",PUNTA LLARGA 27,Colònia De Sant Pere,ARTÀ,Alta,28/07/2017
ETV/12334,"Camí VELL DE PALMA, 22. 07100 SÓLLER, Mallorca",CASA SIROCO,Sóller,SÓLLER,Alta,28/07/2017
ETV/12335,"Carrer ONDATEGUI, 26. 07609 Cala Blava, LLUCMAJOR, Mallorca",CAN DJANGO,Cala Blava,LLUCMAJOR,Alta,28/07/2017
ETV/12336,"Polígon 1 Parcel·la 214. 07170 VALLDEMOSSA, Mallorca",ES COMELLAR,Valldemossa,VALLDEMOSSA,Alta,24/07/2017
ETV/12337,"Carrer BERGANTÍ, 1. 07670 Portocolom, FELANITX, Mallorca",SA BATERIA,Portocolom,FELANITX,Alta,24/07/2017
ETV/12338,"Carrer Atalay, 38. 07160 Peguera, CALVIÀ, Mallorca",SON PAGUERÍ,Peguera,CALVIÀ,Alta,28/07/2017
ETV/12339,"Carrer MALVA, 4. 07400 Mal Pas - Bonaire, ALCÚDIA, Mallorca",VILLA MALVA,Mal Pas - Bonaire,ALCÚDIA,Alta,10/07/2017
ETV/1234,"POLIGON 7 PARCEL·LA 131, 07630 CAMPOS (Mallorca), Illes Balears",SON CABILA,Campos,CAMPOS,Alta,17/07/2008
ETV/12340,"Carrer Gal·les, 41 lletra C-42. 07688 Cala Murada, MANACOR, Mallorca",CASA SPORTIVO,Cala Murada,MANACOR,Alta,28/07/2017
ETV/12341,"Carrer DES PINTOR VERBOURGH, 6. 07660 Cala DOr, SANTANYÍ, Mallorca",CASA GIRASOL,Cala DOr,SANTANYÍ,Alta,28/07/2017
ETV/12342,"Polígon 10 Parcel·la 397. 07460 POLLENÇA, Mallorca",LA VINYA CAN OLIVER,Pollença,POLLENÇA,Alta,28/06/2017
ETV/12343,"Polígon 6 Parcel·la 202. 07460 POLLENÇA, Mallorca",ROSER VELL,Pollença,POLLENÇA,Alta,28/06/2017
ETV/12344,"Carrer SESCALETA, 14. 07659 Cala Santanyí, SANTANYÍ, Mallorca",CASA DEL SOL CALA SANTANYÍ,Cala Santanyí,SANTANYÍ,Alta,28/07/2017
ETV/12345,"Polígon 2 Parcel·la 117. 07320 SANTA MARIA DEL CAMÍ, Mallorca",CAN MANDROS,Santa Maria Del Camí,SANTA MARIA DEL CAMÍ,Alta,28/07/2017
ETV/12346,"Camí La Font, 80-81. 07460 POLLENÇA, Mallorca",CAN BLANCH,Pollença,POLLENÇA,Alta,28/06/2017
ETV/12347,"Polígon 3 Parcel·la 216. 07460 POLLENÇA, Mallorca",CAN CASSOLI,Pollença,POLLENÇA,Alta,28/06/2017
ETV/12349,"Carrer XALÓ, 28. 07450 SANTA MARGALIDA, Mallorca",SABELLAR,Santa Margalida,SANTA MARGALIDA,Alta,31/07/2017
ETV/1235,"Polígon 2 Parcel·la 140. 07460 POLLENÇA, Mallorca",AGUSTÍ,Pollença,POLLENÇA,Alta,17/07/2008
ETV/12350,"Carrer DE PEP NOT, 23. 07570 ARTÀ, Mallorca",CA NA LLOVETA,Artà,ARTÀ,Alta,31/07/2017
ETV/12351,"POLLENÇA-PORT DE POLLENÇA-URB. EL VILA SOLAR 61-67, 61-67. -, -",CASA EL VILA 61,Port De Pollença,POLLENÇA,Alta,10/03/2014
ETV/12352,"SES COVES CAN PUIGSERVER, 1 lletra E. -, -",CAN QUINN,Deià,DEIÀ,Alta,31/07/2017
ETV/12353,"Carrer SANT EDUARD, 85. 07181 Costa DEn Blanes, CALVIÀ, Mallorca",CAN ABBOTT,Costa DEn Blanes,CALVIÀ,Alta,31/07/2017
ETV/12354,"Carrer BRÚIXOLA, 10. 07470 POLLENÇA, Mallorca",CA NA CLARA,Pollença,POLLENÇA,Alta,31/07/2017
ETV/12355,"Carrer DE SA PLAÇA, 12. 07109 FORNALUTX, Mallorca",CAN BLAIN,Fornalutx,FORNALUTX,Alta,31/07/2017
ETV/12356,"Camí CAN MANYOLES, 61. 07340 ALARÓ, Mallorca",CASA BARBARAMA,Alaró,ALARÓ,Alta,31/07/2017
ETV/12357,"Carrer COSTA BRAVA (URB.MULETA), 55. 07108 Port (El), SÓLLER, Mallorca",CAN FIELDING,Port (El),SÓLLER,Alta,31/07/2017
ETV/12358,"Polígon 7 Parcel·la 150. 07400 Son Fe, ALCÚDIA, Mallorca",CAN DOMBEY,Son Fe,ALCÚDIA,Alta,31/07/2017
ETV/12359,"Polígon 8 Parcel·la 137 pis baixos. 07530 Sant Llorenç Del Cardassar, SANT LLORENÇ DES CARDASSAR, Mallorca",SON PI,Sant Llorenç Del Cardassar,SANT LLORENÇ DES CARDASSAR,Alta,31/07/2017
ETV/1236,"POLÍGON 36, PARCEL·LA 116, 07200 FELANITX (Mallorca), Illes Balears",CAN CAVEA,Felanitx,FELANITX,Alta,17/07/2008
ETV/12360,"Polígon 9 Parcel·la 242. 07510 SINEU, Mallorca",CAN COOPER,Sineu,SINEU,Alta,31/07/2017
ETV/12361,"Polígon 2 Parcel·la 74. 07460 POLLENÇA, Mallorca",CAN BLOCKLEY,Pollença,POLLENÇA,Alta,31/07/2017
ETV/12363,"Carrer DIANA, 7. 07400 ALCÚDIA, Mallorca",CAN JAUME,Port DAlcúdia,ALCÚDIA,Alta,31/07/2017
ETV/12364,"Carrer CAN QUARTERA, 16. 07400 Mal Pas - Bonaire, ALCÚDIA, Mallorca",CAN MONJO,Mal Pas - Bonaire,ALCÚDIA,Alta,31/07/2017
ETV/12365,"Polígon 17 Parcel·la 55. 07620 LLUCMAJOR, Mallorca",SON VENT,Llucmajor,LLUCMAJOR,Alta,31/07/2017
ETV/12366,"Polígon 2 Parcel·la 119. 07300 INCA, Mallorca",CAMÍ VELL DE COSTITX 23,Inca,INCA,Alta,31/07/2017
ETV/12367,"Carrer LLEÓ, 9. 07460 POLLENÇA, Mallorca",CAN BREGAT,Pollença,POLLENÇA,Alta,31/07/2017
ETV/12369,"Polígon 22 Parcel·la 81. 07570 ARTÀ, Mallorca",SA CARBONA,Artà,ARTÀ,Alta,31/07/2017
ETV/1237,"Carrer METGE GAYÀ, 8. Ràpita (La), CAMPOS, Mallorca",VILLA MORELL,Ràpita (La),CAMPOS,Alta,17/07/2008
ETV/12370,"Polígon 11 Parcel·la 207. 07369 Biniamar, SELVA, Mallorca",CAN PASSOS,Biniamar,SELVA,Alta,31/07/2017
ETV/12371,"Polígon 2 Parcel·la 587-664. 07230 MONTUÏRI, Mallorca",SON MUT,Montuïri,MONTUÏRI,Alta,31/07/2017
ETV/12372,"Polígon 3 Parcel·la 26. 07510 SINEU, Mallorca",SON QUINELLES,Sineu,SINEU,Alta,31/07/2017
ETV/12373,"Carrer RENTADOR, 6. 07100 SÓLLER, Mallorca",SES RENTADORES,Sóller,SÓLLER,Alta,31/07/2017
ETV/12374,"Carrer MIQUEL COSTA I LLOBERA, 19. 07340 ALARÓ, Mallorca",CASA LLOBERA,Alaró,ALARÓ,Alta,31/07/2017
ETV/12375,"Polígon 1 Parcel·la 164. 07560 Cala Millor, SANT LLORENÇ DES CARDASSAR, Mallorca",SON MORO VELL,Cala Millor,SANT LLORENÇ DES CARDASSAR,Alta,22/12/2015
ETV/12376,"Polígon 17 Parcel·la 649. 07260 PORRERES, Mallorca",CAN PAU,Porreres,PORRERES,Alta,31/07/2017
ETV/12377,"Polígon 25 Parcel·la 9. 07210 ALGAIDA, Mallorca",SA TORRENTERA,Algaida,ALGAIDA,Alta,31/07/2017
ETV/12378,"Polígon 42 Parcel·la 354. 07620 LLUCMAJOR, Mallorca",SON PIERAS NOU,Llucmajor,LLUCMAJOR,Alta,31/07/2017
ETV/12379,"Carrer MARINA, 27. 07638 Colònia De Sant Jordi, SES SALINES, Mallorca",CASA MARINA,Colònia De Sant Jordi,SES SALINES,Alta,31/07/2017
ETV/1238,"POLÍGON 4, PARCEL.LA 65, 07460 POLLENÇA (Mallorca), Illes Balears",CAN SABATER,Pollença,POLLENÇA,Alta,17/07/2008
ETV/12380,"Carrer SA BLANQUERA, 9. 07530 Sant Llorenç Del Cardassar, SANT LLORENÇ DES CARDASSAR, Mallorca",SA BLANQUERA 9,Sant Llorenç Del Cardassar,SANT LLORENÇ DES CARDASSAR,Alta,24/07/2017
ETV/12381,"Polígon 16 Parcel·la 627. 07150 ANDRATX, Mallorca",CAN ESPERANÇA,Andratx,ANDRATX,Alta,31/07/2017
ETV/12382,"Carrer de Sant Marc, 38. 07579 Colònia De Sant Pere, ARTÀ, Mallorca",VELL MARI,Colònia De Sant Pere,ARTÀ,Alta,18/07/2017
ETV/12383,"Camí DE SON ARBOÇ, 391. 07210 ALGAIDA, Mallorca",SON ARBOÇ GRAN,Algaida,ALGAIDA,Alta,05/07/2017
ETV/12385,"Polígon 18 Parcel·la 153. 07630 CAMPOS, Mallorca",FINCA SA CURIA,Campos,CAMPOS,Alta,23/06/2017
ETV/12386,"Carrer ALBA, 32. 07109 FORNALUTX, Mallorca",CAN ALBA,Fornalutx,FORNALUTX,Alta,28/07/2017
ETV/12387,"Polígon 17 Parcel·la 12-13. 07500 MANACOR, Mallorca",SA GRUTA,Manacor,MANACOR,Alta,30/06/2017
ETV/12388,"Polígon 6 Parcel·la 869. 07240 SANT JOAN, Mallorca",FINCA SON REBASSA,Sant Joan,SANT JOAN,Alta,04/07/2017
ETV/12389,"Carrer Noguera, 8. 07560 Coma (La), SANT LLORENÇ DES CARDASSAR, Mallorca",CAS FRAUS,Coma (La),SANT LLORENÇ DES CARDASSAR,Alta,17/07/2017
ETV/1239,"POLIGON 8 PARCEL·LA 1378 I 1351, 07650, Alqueria Blanca (SANTANYÍ) (Mallorca), Illes Balears",SULLASTRE PUJADOR,Alqueria Blanca,SANTANYÍ,Alta,17/07/2008
ETV/12390,"Avinguda DEN JOAN AMER, 7. 07680 Portocristo, MANACOR, Mallorca",CASA INES,Portocristo,MANACOR,Alta,14/07/2017
ETV/12391,"Avinguda COLOM, 18. 07579 Urbanització Betlem, ARTÀ, Mallorca",FINCA LA SIESTA,Urbanització Betlem,ARTÀ,Alta,14/07/2017
ETV/12392,"Carrer MINGUELA, 12. 07007 Coll DeN Rabassa (El), PALMA, Mallorca",VILLA SOL,Coll DeN Rabassa (El),PALMA,Alta,14/07/2017
ETV/12394,"Carrer Alfabaguera, 9. 07560 Cala Millor, SANT LLORENÇ DES CARDASSAR, Mallorca",CASA DORIS,Cala Millor,SANT LLORENÇ DES CARDASSAR,Alta,03/07/2017
ETV/12395,"Carrer ANDREA DORIA, s/nº. 07680 Portocristo, MANACOR, Mallorca",ES NOU,Portocristo,MANACOR,Alta,24/07/2017
ETV/12397,"Carrer DES VENT, 67. 07250 VILAFRANCA DE BONANY, Mallorca",CAN PONTET,Vilafranca De Bonany,VILAFRANCA DE BONANY,Alta,20/07/2017
ETV/12398,"Carrer Victoria , 11. 07100 SÓLLER, Mallorca",CA NAMABLE,Sóller,SÓLLER,Alta,18/07/2017
ETV/12399,"Carrer BARRACAR ALT, 14. 07520 PETRA, Mallorca",CASA MUSEU,Petra,PETRA,Alta,17/07/2017
ETV/124,"POLIGON 8 SELVA (Mallorca), Illes Balears",SON ESTARAS,Selva,SELVA,Alta,25/06/2007
ETV/1240,"POLIGON 57 PARCEL·LA424, S/N. 07200 FELANITX, Mallorca",SON BENNASAR,Felanitx,FELANITX,Alta,17/07/2008
ETV/12400,"Ronda MIQUEL MASSUTÍ, 37. 07670 Portocolom, FELANITX, Mallorca",CA NA MALOU,Portocolom,FELANITX,Alta,14/07/2017
ETV/12401,"Carrer TORNEIG, 2. 07609 Bellavista, LLUCMAJOR, Mallorca",CAN JUANITO,Bellavista,LLUCMAJOR,Alta,13/07/2017
ETV/12402,"Carrer JOAQUIM SOROLLA, 23. 07469 Cala Sant Vicenç, POLLENÇA, Mallorca",CAN ALAN,Cala Sant Vicenç,POLLENÇA,Alta,30/06/2017
ETV/12403,"Carrer DE SA LLUNA, 11. 07519 MARIA DE LA SALUT, Mallorca",CRER. LLUNA 11,Maria De La Salut,MARIA DE LA SALUT,Alta,17/07/2017
ETV/12405,"Carrer PASSARATX, 19 lletra A. 07260 PORRERES, Mallorca",CA NA MARIETA,Porreres,PORRERES,Alta,17/07/2017
ETV/12406,"Carrer NA FORANA, 13 pis 2. 07590 Cala Rajada, CAPDEPERA, Mallorca",CASA SON MOLL,Cala Rajada,CAPDEPERA,Alta,05/07/2017
ETV/12407,"Passeig de la Gerreria, 10. 07340 ALARÓ, Mallorca",CAN SERGIO,Alaró,ALARÓ,Alta,30/06/2017
ETV/12408,"Carrer SANT COSME, 2. 07220 Pina, ALGAIDA, Mallorca",SANT COSME 2,Pina,ALGAIDA,Alta,06/07/2017
ETV/12409,"Carrer MART, 1. 07609 Badia Blava, LLUCMAJOR, Mallorca",CAN BRULL,Badia Blava,LLUCMAJOR,Alta,05/07/2017
ETV/1241,"POLÍGON 4, PARCEL·LA 528, S/N. 07460 POLLENÇA, Mallorca",CAN PARADES,Pollença,POLLENÇA,Alta,17/07/2007
ETV/12410,"Carrer EL VILAR, 81. 07470 POLLENÇA, Mallorca",FELILET,Port De Pollença,POLLENÇA,Alta,30/06/2017
ETV/12411,"Polígon 8 Parcel·la 329. 07240 SANT JOAN, Mallorca",CAN SUCHRI,Sant Joan,SANT JOAN,Alta,18/07/2017
ETV/12412,"Polígon 21 Parcel·la 158. 07570 ARTÀ, Mallorca",SON SUREDA DABAIX,Artà,ARTÀ,Alta,19/07/2017
ETV/12413,"Carrer DEL PATRÓ PELAT, 21. 07680 -, MANACOR, Mallorca",VILLA ENDERROSSALL,,MANACOR,Alta,29/06/2017
ETV/12414,"Carrer JOAN GUIRAUD ROTGER, 29. 07460 POLLENÇA, Mallorca",GUIRAUD,Pollença,POLLENÇA,Alta,03/07/2017
ETV/12415,"Carrer Montpelier, 23. 07141 MARRATXÍ, Mallorca",CAN BUM,Marratxí,MARRATXÍ,Alta,17/07/2017
ETV/12416,"Carrer Ramon llull, 12. 07320 SANTA MARIA DEL CAMÍ, Mallorca",CAN BANYETA,Santa Maria Del Camí,SANTA MARIA DEL CAMÍ,Alta,18/07/2017
ETV/12419,"Vial 3 , 310. 07170 Port (El), VALLDEMOSSA, Mallorca",CAN MARSAL,Port (El),VALLDEMOSSA,Alta,18/07/2017
ETV/1242,"Carrer PINTOR SANJUAN, 4 escala E pis O. 07179 DEIÀ, Mallorca",PINTOR SAN JUAN,Deià,DEIÀ,Alta,17/07/2008
ETV/12420,"Carrer DE CAN JOI, 8. 07108  SÓLLER, Mallorca",CAN JOY,,SÓLLER,Alta,21/07/2017
ETV/12421,"Carrer CAN SIMONET, 11. 07650 SANTANYÍ, Mallorca",CAN SIMONET,Santanyí,SANTANYÍ,Alta,13/06/2017
ETV/12422,"Carrer LLAGOSTA, 41. 07670 Portocolom, FELANITX, Mallorca",OLIVERA CANTO,Portocolom,FELANITX,Alta,21/07/2017
ETV/12423,"Carrer Geroni Albertí, 9 pis baixos. 07191 BANYALBUFAR, Mallorca",CASA SOSIEGO BANYALBUFAR,Banyalbufar,BANYALBUFAR,Alta,20/07/2017
ETV/12424,"Carrer DE SA PUNTA, 14. 07670 Portocolom, FELANITX, Mallorca",SA PUNTA,Portocolom,FELANITX,Alta,20/06/2017
ETV/12425,"Carrer JOSEP MARÍA LLOMPART, 6-2. 07458 Can Picafort, SANTA MARGALIDA, Mallorca",JOAN,Can Picafort,SANTA MARGALIDA,Alta,07/10/2016
ETV/12426,"LLARG, 13. -, -",MAR I CEL,Son Serra De Marina,SANTA MARGALIDA,Alta,27/06/2017
ETV/12427,"Carrer Llibertat, 29. 07450 SANTA MARGALIDA, Mallorca",CAN XELí,Santa Margalida,SANTA MARGALIDA,Alta,28/06/2017
ETV/12428,"Polígon 55 Parcel·la 232. 07199 Aranjassa (L), PALMA, Mallorca",CAN BELLMUNT,Aranjassa (L),PALMA,Alta,21/06/2017
ETV/1243,"Polígon 9 PARCEL·LA  87--SILLER. 07460 POLLENÇA, Mallorca",CAN BERNAT,Pollença,POLLENÇA,Alta,17/07/2008
ETV/12430,"Polígon 10 Parcel·la 211. 07209 FELANITX, Mallorca",SON RAMON,Felanitx,FELANITX,Alta,06/07/2017
ETV/12431,"Carrer EL ROSER VELL, 99. 07460 POLLENÇA, Mallorca",SANDSTONE,Pollença,POLLENÇA,Alta,22/06/2017
ETV/12432,"Carrer Gabriel Fuster, 52 pis baixos. 07004 PALMA, Mallorca",GARBI VILLAGE,Palma,PALMA,Alta,06/07/2017
ETV/12433,"Carrer A ES PORT, 24. 07170 Port (El), VALLDEMOSSA, Mallorca",MESTRAL PARADISE 24,Port (El),VALLDEMOSSA,Alta,28/06/2017
ETV/12435,"Carrer Sor Maria dels Dolors, 12. 07313 Moscari, SELVA, Mallorca",ES COLOMER - CA SESTANYERA,Moscari,SELVA,Alta,03/07/2017
ETV/12436,"Carrer COGOMA, 5. 07400 Mal Pas - Bonaire, ALCÚDIA, Mallorca",VILLA SKY,Mal Pas - Bonaire,ALCÚDIA,Alta,13/07/2017
ETV/12437,"Polígon 9 Parcel·la 63. 07300 INCA, Mallorca",SON PAPARRA,Inca,INCA,Alta,05/07/2017
ETV/12438,"Carrer Barques, 29. 07460 POLLENÇA, Mallorca",BARQUES 29,Pollença,POLLENÇA,Alta,18/07/2017
ETV/12439,"Polígon 8 Parcel·la 1219. 07691 Alqueria Blanca, SANTANYÍ, Mallorca",SESTRET,Alqueria Blanca,SANTANYÍ,Alta,03/08/2012
ETV/1244,"Carrer SA FONT, 12. 07109 FORNALUTX, Mallorca",SABEURADETA,Fornalutx,FORNALUTX,Alta,17/07/2008
ETV/12440,"Carrer OLIVERES, 12. 07170 VALLDEMOSSA, Mallorca",CAN MUSSA,Valldemossa,VALLDEMOSSA,Alta,18/07/2017
ETV/12441,"Avinguda DEL MAR, 71. 07180 Toro (El), CALVIÀ, Mallorca",ES PINÀ,Toro (El),CALVIÀ,Alta,31/07/2017
ETV/12442,"Carrer Illa des Porros, 3. 07458 Can Picafort, SANTA MARGALIDA, Mallorca",VILLA MAGRANER,Can Picafort,SANTA MARGALIDA,Alta,07/07/2017
ETV/12443,"Carrer DE SA VOLTA PIQUERA, 16. 07100 SÓLLER, Mallorca",CALLE VUELTA PIQUERA,Sóller,SÓLLER,Alta,19/07/2017
ETV/12444,"Carrer DEL 31 DE MARÇ, 42. 07570 ARTÀ, Mallorca",SHERBORISTERIA,Artà,ARTÀ,Alta,17/07/2017
ETV/12445,"Carrer DES VENT, 1. 07250 VILAFRANCA DE BONANY, Mallorca",CA SA PADRINA JULIANA,Vilafranca De Bonany,VILAFRANCA DE BONANY,Alta,14/07/2017
ETV/12446,"Polígon 10 Parcel·la 224. 07460 POLLENÇA, Mallorca",CA´N BREGAT,Pollença,POLLENÇA,Alta,18/07/2017
ETV/12447,"Carrer CEGA, 9A. 07609 Badia Gran, LLUCMAJOR, Mallorca",CEGA 9A,Badia Gran,LLUCMAJOR,Alta,21/07/2017
ETV/12448,"FRANCISCUS, 429 porta IZDA. -, -",VILLA GOLD ALCUDIA,Platja De Muro,MURO,Alta,28/06/2017
ETV/12449,"Carrer NOSTRA SENYORA DE LLUC, 36. 07314 Caimari, SELVA, Mallorca",CAS GALERISTA,Caimari,SELVA,Alta,21/07/2017
ETV/1245,"Camí DES MAS S/N CAN GUITARRE, S/N. 07109 FORNALUTX, Mallorca",LA FUENTE DE LA ALQUERIA,Fornalutx,FORNALUTX,Alta,17/07/2008
ETV/12450,"Carrer MAJOR, 30. 07510 SINEU, Mallorca",ES CARRER MAJOR,Sineu,SINEU,Alta,20/07/2017
ETV/12451,"Polígon 1 Parcel·la 7. 07529 ARIANY, Mallorca",SON BOSCA,Ariany,ARIANY,Alta,18/07/2017
ETV/12452,"Polígon 10 Parcel·la 70. 07310 CAMPANET, Mallorca",VALL DE SANT MIQUEL,Campanet,CAMPANET,Alta,17/07/2017
ETV/12453,"Carrer POLONIA, 1. 07170 VALLDEMOSSA, Mallorca",CAN CERDA,Valldemossa,VALLDEMOSSA,Alta,19/07/2017
ETV/12454,"Avinguda DELS PINS, 11. 07180  CALVIÀ, Mallorca",EL TORO HOUSE,EL TORO,CALVIÀ,Alta,19/07/2017
ETV/12455,"Carrer México, 20. 07459 Son Serra De Marina, SANTA MARGALIDA, Mallorca",CAN RAMIS,Son Serra De Marina,SANTA MARGALIDA,Alta,03/07/2017
ETV/12456,"Carrer CAMPOS, 8. 07460 POLLENÇA, Mallorca",CASA LLOBETA,Pollença,POLLENÇA,Alta,17/07/2017
ETV/12457,"Carrer Son Torrat, 7. 07190 ESPORLES, Mallorca",CAN MIR,Esporles,ESPORLES,Alta,19/07/2017
ETV/12458,"Carrer RUDA, 28. 07011 PALMA, Mallorca",CAN FLACO,Palma,PALMA,Alta,21/07/2017
ETV/12459,"Polígon 11 Parcel·la 33. 07550 SON SERVERA, Mallorca",FETGET 33-11 SON SERVERA,Son Servera,SON SERVERA,Alta,20/07/2017
ETV/1246,"Carrer DE CALA DOR, 12. 07660 Cala DOr, SANTANYÍ, Mallorca",ARRAN DE MAR,Cala DOr,SANTANYÍ,Alta,17/07/2008
ETV/12460,"Carrer CORONEL ALOI, 9. 07460 POLLENÇA, Mallorca",ALOY,Pollença,POLLENÇA,Alta,03/07/2017
ETV/12461,"Carrer Bartomeu Rull, 11. 07460 POLLENÇA, Mallorca",NUMBER ELEVEN,Pollença,POLLENÇA,Alta,16/06/2017
ETV/12462,"Carrer ANDREU JUAN BATLE, 18. 07141 Cabaneta (La), MARRATXÍ, Mallorca",ALICEMAR,Cabaneta (La),MARRATXÍ,Alta,30/06/2017
ETV/12463,"Carrer MAURA, 49. 07150 ANDRATX, Mallorca",CAN MIQUELO,Andratx,ANDRATX,Alta,14/07/2017
ETV/12464,"Polígon 18 Parcel·la 51. 07500 MANACOR, Mallorca",ES COLL DEN FERRAGUT,Manacor,MANACOR,Alta,10/07/2017
ETV/12465,"Passeig Voramar, 51. 07470 POLLENÇA, Mallorca",Voramar 51,Port De Pollença,POLLENÇA,Alta,18/07/2017
ETV/12466,"Polígon 2 Parcel·la 585. 07300 INCA, Mallorca",CAN PILOS,Inca,INCA,Alta,18/07/2017
ETV/12467,"Carrer JAUME BUJOSA, 15. 07198 Son Ferriol, PALMA, Mallorca",CAN FRANK,Son Ferriol,PALMA,Alta,20/07/2017
ETV/12468,"Carrer JOAN MASSANET, 41 lletra A escala -. 07459 Son Serra De Marina, SANTA MARGALIDA, Mallorca",ALOE,Son Serra De Marina,SANTA MARGALIDA,Alta,17/07/2017
ETV/12469,"Plaça SARRAVAL, 9. 07200 FELANITX, Mallorca",ARRAVAL ENDAVANT,Felanitx,FELANITX,Alta,18/07/2017
ETV/1247,"POLÍGON 7, PARCEL·LA 1038, S/N. 07650 SANTANYÍ, Mallorca",SA COVA FORADADA,Santanyí,SANTANYÍ,Alta,17/07/2008
ETV/12470,"Carrer OBLADA, 11. 07610 Can Pastilla, PALMA, Mallorca",LA PINEDA,Can Pastilla,PALMA,Alta,17/07/2017
ETV/12471,"Polígon 5 Parcel·la 100. 07450 SANTA MARGALIDA, Mallorca",ES TURO,Santa Margalida,SANTA MARGALIDA,Alta,17/07/2017
ETV/12472,"Polígon 12 Parcel·la 7. 07314 Caimari, SELVA, Mallorca",CAN BRESCA,Caimari,SELVA,Alta,21/07/2017
ETV/12474,"Polígon 4 Parcel·la 1413. 07260 PORRERES, Mallorca",SON JORDI,Porreres,PORRERES,Alta,18/07/2017
ETV/12475,"Carrer Germanor, 89. 07459 Son Serra De Marina, SANTA MARGALIDA, Mallorca",VILLA SON SERRA,Son Serra De Marina,SANTA MARGALIDA,Alta,29/06/2017
ETV/12476,"Polígon 8 Parcel·la 2. 07150 ANDRATX, Mallorca",CAS FRANCES,Andratx,ANDRATX,Alta,17/07/2017
ETV/12477,"Carrer BONAIRE, 38. 07350 BINISSALEM, Mallorca",BINIBONAIRE,Binissalem,BINISSALEM,Alta,05/07/2017
ETV/12479,"Carrer PRINCESA, 15 lletra A. 07458 Can Picafort, SANTA MARGALIDA, Mallorca",CAN PICAFORT BEACH HOUSE,Can Picafort,SANTA MARGALIDA,Alta,14/07/2017
ETV/1248,"Polígon 4, PARCEL·LA 441. 07100 SÓLLER, Mallorca",CAN VAQUETA,Sóller,SÓLLER,Alta,17/07/2008
ETV/12480,"Carrer PRINCESA, 15 lletra B. 07458 Can Picafort, SANTA MARGALIDA, Mallorca",SEA HOUSE,Can Picafort,SANTA MARGALIDA,Alta,14/07/2017
ETV/12486,"Polígon 9 Parcel·la 129-130. 07680 Portocristo, MANACOR, Mallorca",EL PARAISO,Portocristo,MANACOR,Alta,11/07/2017
ETV/12487,"Carrer UNAMUNO, 3 lletra B. 07640 Salines (Les), SES SALINES, Mallorca",CASA CODRUZ,Salines (Les),SES SALINES,Alta,19/07/2017
ETV/12488,"Carrer PAGELL, 15. 07157 Port DAndratx, ANDRATX, Mallorca",CASA BLANCA,Port DAndratx,ANDRATX,Alta,21/06/2017
ETV/12489,"Polígon 11 Parcel·la 342. -, -",FINCA MIANES,Montuïri,MONTUÏRI,Alta,13/07/2017
ETV/1249,"Carrer SOL NAIXENT, 10. 07500 Portocristo, MANACOR, Mallorca",RANDEMAR,Portocristo,MANACOR,Alta,17/07/2008
ETV/12490,"Carrer California, 25. 07181 Portals Nous, CALVIÀ, Mallorca",VILLA MARIA,Portals Nous,CALVIÀ,Alta,28/06/2017
ETV/12491,"Polígon 25 Parcel·la 1278. 07500 MANACOR, Mallorca",SON JOAN JAUME ROS,Manacor,MANACOR,Alta,18/07/2017
ETV/12492,"Polígon 55 Parcel·la 205. 07200 FELANITX, Mallorca",SA MOLA,Felanitx,FELANITX,Alta,18/07/2017
ETV/12493,"Carrer HARO, 17. 07609 Bellavista, LLUCMAJOR, Mallorca",SON PURET,Bellavista,LLUCMAJOR,Alta,25/07/2017
